customer_id,signup_date,age,gender,country,plan_type,monthly_fee
C000088,2021-12-03,41,Male,France,Premium,39.99
C000089,2022-11-01,31,Female,USA,Enterprise,99.99
C000090,2020-04-14,44,Male,Germany,Premium,39.99
C000091,2020-03-31,39,Male,UK,Basic,9.99
C000092,2021-06-20,49,Male,Australia,Standard,19.99
C000093,2022-05-25,29,Non-Binary,USA,Basic,9.99
C000094,2023-11-16,34,Male,Canada,Premium,39.99
C000095,2023-04-07,33,Non-Binary,USA,Basic,9.99
C000096,2021-09-23,20,Female,India,Premium,39.99
C000097,2024-10-28,41,Male,India,Basic,9.99
C000098,2021-05-26,41,Non-Binary,USA,Premium,39.99
C000099,2022-04-12,38,Non-Binary,Australia,Enterprise,99.99
C000100,2021-04-29,35,Male,Brazil,Premium,39.99
C000101,2022-04-24,21,Male,USA,Enterprise,99.99
C000102,2024-05-21,32,Female,India,Premium,39.99
C000103,2024-07-18,33,Male,USA,Premium,39.99
C000104,2020-08-09,28,Female,India,Premium,39.99
C000105,2021-03-31,36,Male,India,Standard,19.99
C000106,2021-09-17,42,Male,USA,Standard,19.99
C000107,2022-03-27,60,Female,USA,Basic,9.99
C000108,2024-05-02,40,Female,UK,Standard,19.99
C000109,2023-10-23,41,Non-Binary,UK,Basic,9.99
C000110,2021-06-18,37,Male,Germany,Enterprise,99.99
C000111,2020-03-19,18,Male,Germany,Basic,9.99
C000112,2024-05-29,37,Female,UK,Enterprise,99.99
C000113,2020-08-24,38,Female,India,Basic,9.99
C000114,2020-03-31,67,Non-Binary,UK,Standard,19.99
C000115,2024-07-09,35,Non-Binary,France,Enterprise,99.99
C000116,2024-02-18,41,Non-Binary,USA,Standard,19.99
C000117,2023-09-22,37,Female,Germany,Standard,19.99
C000118,2020-09-12,23,Non-Binary,India,Standard,19.99
C000119,2023-09-27,51,Female,UK,Standard,19.99
C000120,2023-02-09,47,Male,USA,Standard,19.99
C000121,2022-02-15,47,Non-Binary,Australia,Basic,9.99
C000122,2023-03-11,27,Female,UK,Premium,39.99
C000123,2021-09-14,54,Female,USA,Premium,39.99
C000124,2023-05-27,21,Non-Binary,UK,Standard,19.99
C000125,2023-10-15,45,Male,Canada,Premium,39.99
C000126,2024-06-18,64,Non-Binary,USA,Basic,9.99
C000127,2022-11-21,26,Non-Binary,Germany,Basic,9.99
C000128,2024-08-03,31,Male,France,Basic,9.99
C000129,2021-02-11,39,Male,USA,Basic,9.99
C000130,2022-08-31,31,Non-Binary,India,Basic,9.99
C000131,2022-04-28,19,Non-Binary,Germany,Premium,39.99
C000132,2022-02-25,38,Female,UK,Basic,9.99
C000133,2023-11-09,25,Male,India,Premium,39.99
C000134,2020-08-06,43,Female,USA,Premium,39.99
C000135,2023-11-26,26,Non-Binary,Canada,Standard,19.99
C000136,2024-10-03,56,Male,Canada,Premium,39.99
C000137,2023-09-29,28,Non-Binary,Brazil,Standard,19.99
C000138,2024-03-26,34,Female,Germany,Premium,39.99
C000139,2022-10-30,47,Female,India,Standard,19.99
C000140,2020-11-21,23,Non-Binary,India,Standard,19.99
C000141,2024-03-19,40,Male,India,Basic,9.99
C000142,2024-05-11,53,Non-Binary,Canada,Basic,9.99
C000143,2022-06-19,18,Male,France,Basic,9.99
C000144,2021-11-18,40,Female,India,Basic,9.99
C000145,2020-11-04,41,Male,UK,Basic,9.99
C000146,2021-03-14,47,Male,UK,Basic,9.99
C000147,2022-08-12,23,Female,USA,Premium,39.99
C000148,2022-03-08,22,Non-Binary,Brazil,Basic,9.99
C000149,2024-04-16,44,Non-Binary,UK,Basic,9.99
C000150,2021-12-21,41,Female,Australia,Premium,39.99
C000151,2024-09-07,41,Female,Canada,Premium,39.99
C000152,2024-06-26,42,Non-Binary,India,Standard,19.99
C000153,2021-07-12,29,Female,Canada,Basic,9.99
C000154,2023-10-01,40,Non-Binary,Australia,Premium,39.99
C000155,2024-09-17,41,Female,India,Enterprise,99.99
C000156,2022-12-29,29,Male,India,Standard,19.99
C000157,2023-09-19,60,Male,USA,Standard,19.99
C000158,2022-08-03,43,Male,USA,Basic,9.99
C000159,2021-03-09,23,Female,UK,Premium,39.99
C000160,2022-02-15,45,Female,Australia,Premium,39.99
C000161,2021-05-31,26,Male,Canada,Premium,39.99
C000162,2020-04-16,47,Female,USA,Basic,9.99
C000163,2023-08-27,51,Male,Australia,Enterprise,99.99
C000164,2021-02-12,28,Male,Germany,Basic,9.99
C000165,2022-08-27,49,Non-Binary,USA,Enterprise,99.99
C000166,2022-08-10,42,Non-Binary,USA,Basic,9.99
C000167,2023-05-25,47,Non-Binary,Brazil,Premium,39.99
C000168,2024-05-11,60,Male,Brazil,Basic,9.99
C000169,2020-02-22,35,Female,Germany,Enterprise,99.99
C000170,2022-02-07,28,Female,Brazil,Basic,9.99
C000171,2023-04-27,27,Non-Binary,India,Basic,9.99
C000172,2023-11-28,28,Female,India,Standard,19.99
C000173,2020-09-04,37,Non-Binary,Australia,Basic,9.99
C000174,2022-05-27,42,Non-Binary,UK,Standard,19.99
C000175,2021-11-29,41,Male,India,Premium,39.99
C000176,2020-08-04,47,Female,Brazil,Standard,19.99
C000177,2024-08-24,38,Female,France,Standard,19.99
C000178,2024-02-11,55,Non-Binary,Brazil,Basic,9.99
C000179,2024-07-13,34,Non-Binary,Australia,Standard,19.99
C000180,2024-08-18,70,Non-Binary,Germany,Basic,9.99
C000181,2021-05-17,45,Male,USA,Standard,19.99
C000182,2024-03-16,27,Female,Germany,Standard,19.99
C000183,2021-11-19,25,Male,Canada,Basic,9.99
C000184,2022-09-25,43,Male,UK,Basic,9.99
C000185,2021-07-26,35,Non-Binary,France,Basic,9.99
C000186,2020-01-21,46,Non-Binary,Brazil,Basic,9.99
C000187,2024-01-14,43,Female,Canada,Premium,39.99
C000188,2023-11-15,37,Female,Germany,Standard,19.99
C000189,2024-06-11,27,Male,USA,Basic,9.99
C000190,2023-11-17,19,Male,UK,Standard,19.99
C000191,2022-08-27,32,Non-Binary,Canada,Standard,19.99
C000192,2024-03-07,48,Non-Binary,UK,Premium,39.99
C000193,2021-07-08,40,Female,USA,Basic,9.99
C000194,2021-01-29,23,Female,USA,Standard,19.99
C000195,2024-04-09,40,Non-Binary,USA,Basic,9.99
C000196,2022-09-18,42,Female,France,Enterprise,99.99
C000197,2022-12-10,27,Non-Binary,USA,Basic,9.99
C000198,2021-02-01,39,Female,USA,Basic,9.99
C000199,2020-01-29,38,Non-Binary,Canada,Basic,9.99
C000200,2020-04-21,24,Non-Binary,USA,Enterprise,99.99
C000201,2023-07-30,42,Female,USA,Basic,9.99
C000202,2021-08-05,44,Female,Canada,Basic,9.99
C000203,2020-04-15,50,Female,Brazil,Standard,19.99
C000204,2024-08-10,50,Male,UK,Basic,9.99
C000205,2023-07-13,21,Non-Binary,USA,Basic,9.99
C000206,2023-02-26,26,Female,USA,Basic,9.99
C000207,2023-02-16,44,Female,Germany,Premium,39.99
C000208,2021-04-07,44,Non-Binary,UK,Enterprise,99.99
C000209,2021-08-31,44,Non-Binary,Brazil,Basic,9.99
C000210,2023-06-25,84,Male,Germany,Premium,39.99
C000211,2024-04-11,44,Male,Germany,Basic,9.99
C000212,2020-06-15,51,Male,USA,Standard,19.99
C000213,2020-11-16,49,Male,UK,Standard,19.99
C000214,2022-08-20,45,Female,USA,Basic,9.99
C000215,2021-08-02,34,Non-Binary,India,Basic,9.99
C000216,2021-04-23,47,Female,Australia,Standard,19.99
C000217,2023-09-16,28,Male,UK,Standard,19.99
C000218,2023-08-19,35,Male,India,Premium,39.99
C000219,2020-05-26,32,Male,USA,Basic,9.99
C000220,2024-03-13,38,Non-Binary,Brazil,Standard,19.99
C000221,2022-08-17,65,Non-Binary,UK,Standard,19.99
C000222,2021-07-11,18,Non-Binary,Canada,Standard,19.99
C000223,2023-05-09,46,Male,India,Premium,39.99
C000224,2023-05-21,18,Female,USA,Basic,9.99
C000225,2023-10-12,32,Non-Binary,Germany,Basic,9.99
C000226,2024-04-15,51,Non-Binary,India,Standard,19.99
C000227,2024-04-11,38,Male,Canada,Standard,19.99
C000228,2021-07-23,25,Male,Brazil,Standard,19.99
C000229,2024-07-25,29,Female,Brazil,Standard,19.99
C000230,2022-04-16,46,Female,UK,Basic,9.99
C000231,2020-11-25,29,Female,UK,Standard,19.99
C000232,2023-09-18,40,Female,India,Standard,19.99
C000233,2022-07-20,38,Male,UK,Basic,9.99
C000234,2024-05-01,30,Female,India,Premium,39.99
C000235,2020-01-03,63,Non-Binary,India,Standard,19.99
C000236,2020-04-21,45,Male,Canada,Standard,19.99
C000237,2022-10-17,18,Non-Binary,UK,Basic,9.99
C000238,2021-06-30,40,Non-Binary,USA,Basic,9.99
C000239,2023-12-01,30,Female,USA,Enterprise,99.99
C000240,2023-05-31,48,Male,France,Basic,9.99
C000241,2020-01-29,28,Non-Binary,UK,Basic,9.99
C000242,2024-09-19,36,Male,Canada,Basic,9.99
C000243,2024-08-31,44,Male,Canada,Premium,39.99
C000244,2022-11-08,48,Non-Binary,USA,Premium,39.99
C000245,2022-08-25,23,Male,Canada,Basic,9.99
C000246,2021-01-25,33,Non-Binary,Canada,Premium,39.99
C000247,2020-05-22,32,Female,Australia,Premium,39.99
C000248,2021-11-27,30,Non-Binary,USA,Basic,9.99
C000249,2024-01-26,59,Female,India,Standard,19.99
C000250,2023-09-13,42,Female,India,Standard,19.99
C000251,2022-09-18,22,Female,UK,Premium,39.99
C000252,2022-02-11,49,Female,Brazil,Premium,39.99
C000253,2023-11-29,63,Male,Germany,Basic,9.99
C000254,2024-05-07,50,Female,USA,Premium,39.99
C000255,2023-12-15,19,Female,UK,Standard,19.99
C000256,2024-08-07,32,Non-Binary,Brazil,Standard,19.99
C000257,2020-03-16,53,Male,Canada,Standard,19.99
C000258,2020-07-24,29,Female,USA,Enterprise,99.99
C000259,2020-02-01,43,Non-Binary,USA,Premium,39.99
C000260,2020-11-12,47,Male,Canada,Enterprise,99.99
C000261,2021-11-24,26,Non-Binary,France,Standard,19.99
C000262,2024-10-10,37,Female,India,Premium,39.99
C000263,2022-02-17,18,Female,Germany,Premium,39.99
C000264,2022-09-26,25,Non-Binary,USA,Basic,9.99
C000265,2023-07-16,34,Non-Binary,Brazil,Enterprise,99.99
C000266,2024-03-09,23,Male,UK,Basic,9.99
C000267,2023-07-21,57,Non-Binary,India,Standard,19.99
C000268,2023-11-22,20,Female,India,Basic,9.99
C000269,2024-06-18,32,Male,USA,Basic,9.99
C000270,2020-10-25,39,Male,Canada,Standard,19.99
C000271,2024-06-11,55,Male,USA,Basic,9.99
C000272,2022-02-22,20,Non-Binary,France,Standard,19.99
C000273,2023-04-09,51,Male,USA,Standard,19.99
C000274,2022-07-30,38,Female,France,Premium,39.99
C000275,2022-08-10,26,Female,France,Basic,9.99
C000276,2022-06-23,43,Female,Brazil,Basic,9.99
C000277,2022-05-18,40,Non-Binary,USA,Premium,39.99
C000278,2021-02-11,30,Female,India,Basic,9.99
C000279,2022-02-20,38,Non-Binary,UK,Basic,9.99
C000280,2023-12-03,33,Female,USA,Premium,39.99
C000281,2022-03-21,39,Female,USA,Premium,39.99
C000282,2024-05-12,45,Non-Binary,Brazil,Enterprise,99.99
C000283,2024-03-06,57,Female,India,Enterprise,99.99
C000284,2024-05-07,23,Male,Germany,Basic,9.99
C000285,2023-07-27,63,Male,Germany,Standard,19.99
C000286,2024-01-16,18,Non-Binary,France,Basic,9.99
C000287,2020-07-17,36,Non-Binary,Germany,Basic,9.99
C000288,2022-06-21,45,Male,Germany,Premium,39.99
C000289,2020-07-03,41,Female,UK,Standard,19.99
C000290,2021-02-15,30,Male,Australia,Premium,39.99
C000291,2022-01-19,35,Non-Binary,Canada,Basic,9.99
C000292,2020-12-02,32,Female,India,Enterprise,99.99
C000293,2024-07-09,30,Female,Australia,Basic,9.99
C000294,2020-08-23,48,Female,Brazil,Basic,9.99
C000295,2021-04-07,42,Non-Binary,France,Enterprise,99.99
C000296,2024-09-28,29,Non-Binary,UK,Premium,39.99
C000297,2020-01-29,48,Female,Canada,Standard,19.99
C000298,2023-10-09,41,Non-Binary,France,Standard,19.99
C000299,2024-08-11,47,Non-Binary,Brazil,Basic,9.99
C000300,2021-04-23,45,Female,USA,Premium,39.99
C000301,2023-02-23,28,Female,India,Basic,9.99
C000302,2020-05-09,31,Non-Binary,India,Enterprise,99.99
C000303,2021-09-10,46,Non-Binary,UK,Basic,9.99
C000304,2020-03-17,45,Female,Brazil,Basic,9.99
C000305,2021-04-25,37,Non-Binary,USA,Standard,19.99
C000306,2023-10-05,39,Non-Binary,France,Standard,19.99
C000307,2023-04-17,53,Non-Binary,France,Premium,39.99
C000308,2023-09-03,30,Male,India,Standard,19.99
C000309,2021-07-26,44,Male,France,Basic,9.99
C000310,2022-06-29,35,Male,India,Basic,9.99
C000311,2023-11-05,35,Female,Canada,Enterprise,99.99
C000312,2022-01-04,51,Male,UK,Basic,9.99
C000313,2020-09-07,47,Female,USA,Basic,9.99
C000314,2023-08-02,47,Non-Binary,Brazil,Basic,9.99
C000315,2021-11-14,53,Male,Brazil,Premium,39.99
C000316,2021-02-24,38,Male,India,Standard,19.99
C000317,2023-04-15,46,Male,India,Basic,9.99
C000318,2024-05-04,34,Male,Australia,Standard,19.99
C000319,2021-07-21,41,Male,Brazil,Standard,19.99
C000320,2024-06-23,36,Male,USA,Premium,39.99
C000321,2020-09-26,39,Male,UK,Premium,39.99
C000322,2023-04-20,45,Female,USA,Basic,9.99
C000323,2020-09-16,28,Non-Binary,UK,Basic,9.99
C000324,2020-05-10,63,Female,UK,Basic,9.99
C000325,2023-04-30,25,Male,Canada,Basic,9.99
C000326,2023-06-13,23,Male,France,Enterprise,99.99
C000327,2023-09-11,51,Non-Binary,UK,Standard,19.99
C000328,2020-03-04,47,Male,Brazil,Premium,39.99
C000329,2022-05-23,45,Non-Binary,USA,Premium,39.99
C000330,2022-06-27,45,Male,India,Basic,9.99
C000331,2020-10-30,37,Male,USA,Standard,19.99
C000332,2023-04-13,27,Non-Binary,France,Basic,9.99
C000333,2023-05-08,38,Non-Binary,USA,Standard,19.99
C000334,2022-05-31,29,Male,Australia,Basic,9.99
C000335,2023-09-02,49,Non-Binary,India,Standard,19.99
C000336,2021-03-16,36,Female,Canada,Basic,9.99
C000337,2021-11-25,28,Female,UK,Premium,39.99
C000338,2021-10-02,34,Female,UK,Basic,9.99
C000339,2020-11-08,42,Non-Binary,Brazil,Basic,9.99
C000340,2024-08-30,31,Male,USA,Basic,9.99
C000341,2024-02-22,28,Female,India,Standard,19.99
C000342,2023-04-16,40,Non-Binary,Germany,Standard,19.99
C000343,2022-04-21,40,Female,India,Enterprise,99.99
C000344,2022-05-16,31,Non-Binary,USA,Basic,9.99
C000345,2021-10-01,32,Female,USA,Standard,19.99
C000346,2020-11-12,40,Non-Binary,Canada,Premium,39.99
C000347,2021-12-18,20,Non-Binary,UK,Premium,39.99
C000348,2023-03-21,21,Male,India,Premium,39.99
C000349,2024-04-20,29,Non-Binary,Germany,Standard,19.99
C000350,2020-02-23,35,Non-Binary,Brazil,Premium,39.99
C000351,2021-07-01,41,Male,USA,Premium,39.99
C000352,2021-09-24,55,Female,UK,Basic,9.99
C000353,2020-10-20,48,Non-Binary,France,Basic,9.99
C000354,2024-02-26,36,Non-Binary,Brazil,Basic,9.99
C000355,2022-12-22,37,Male,UK,Standard,19.99
C000356,2020-11-18,25,Female,UK,Basic,9.99
C000357,2023-03-08,37,Non-Binary,USA,Basic,9.99
C000358,2020-11-18,34,Non-Binary,USA,Basic,9.99
C000359,2022-06-26,41,Non-Binary,UK,Standard,19.99
C000360,2022-04-28,28,Female,USA,Standard,19.99
C000361,2021-12-07,44,Female,USA,Standard,19.99
C000362,2023-04-29,56,Female,Canada,Basic,9.99
C000363,2021-03-27,36,Female,Brazil,Basic,9.99
C000364,2021-02-22,42,Female,Brazil,Premium,39.99
C000365,2024-04-14,46,Female,USA,Basic,9.99
C000366,2022-10-15,33,Non-Binary,UK,Basic,9.99
C000367,2022-12-26,40,Non-Binary,USA,Standard,19.99
C000368,2023-09-30,38,Female,USA,Premium,39.99
C000369,2020-03-27,39,Female,USA,Enterprise,99.99
C000370,2024-10-31,28,Female,Germany,Standard,19.99
C000371,2023-12-24,38,Non-Binary,UK,Basic,9.99
C000372,2020-02-12,43,Female,USA,Enterprise,99.99
C000373,2022-07-31,55,Non-Binary,India,Basic,9.99
C000374,2024-09-25,49,Male,USA,Standard,19.99
C000375,2022-12-09,63,Male,UK,Basic,9.99
C000376,2021-11-26,28,Male,UK,Basic,9.99
C000377,2022-11-11,48,Non-Binary,USA,Standard,19.99
C000378,2024-05-08,40,Female,UK,Enterprise,99.99
C000379,2023-08-14,64,Male,USA,Basic,9.99
C000380,2021-02-08,28,Male,Germany,Premium,39.99
C000381,2023-09-04,27,Male,USA,Premium,39.99
C000382,2022-10-08,30,Female,Australia,Premium,39.99
C000383,2022-07-08,18,Non-Binary,Brazil,Standard,19.99
C000384,2023-07-25,31,Non-Binary,UK,Enterprise,99.99
C000385,2021-10-09,28,Male,UK,Standard,19.99
C000386,2023-07-17,39,Female,Australia,Standard,19.99
C000387,2021-12-21,42,Non-Binary,USA,Standard,19.99
C000388,2020-03-18,60,Male,UK,Basic,9.99
C000389,2023-08-13,49,Male,Germany,Standard,19.99
C000390,2022-08-05,31,Non-Binary,Germany,Premium,39.99
C000391,2020-03-25,27,Female,India,Standard,19.99
C000392,2021-01-20,43,Female,Germany,Standard,19.99
C000393,2020-05-06,22,Female,USA,Premium,39.99
C000394,2021-12-04,59,Non-Binary,USA,Standard,19.99
C000395,2020-03-21,52,Male,France,Enterprise,99.99
C000396,2022-12-09,32,Non-Binary,Germany,Basic,9.99
C000397,2021-08-02,18,Female,UK,Basic,9.99
C000398,2023-05-09,54,Male,Australia,Standard,19.99
C000399,2020-05-14,36,Female,USA,Standard,19.99
C000400,2021-08-04,52,Female,France,Standard,19.99
C000401,2023-05-19,18,Male,UK,Standard,19.99
C000402,2020-10-16,30,Female,UK,Standard,19.99
C000403,2023-09-18,38,Female,USA,Premium,39.99
C000404,2020-06-22,38,Female,Germany,Standard,19.99
C000405,2021-11-03,32,Male,France,Premium,39.99
C000406,2024-02-22,45,Non-Binary,India,Basic,9.99
C000407,2023-10-05,25,Female,Canada,Basic,9.99
C000408,2021-09-24,36,Male,Brazil,Basic,9.99
C000409,2024-04-18,39,Female,USA,Enterprise,99.99
C000410,2020-11-13,44,Male,USA,Premium,39.99
C000411,2022-11-05,46,Non-Binary,India,Premium,39.99
C000412,2020-03-18,24,Non-Binary,UK,Premium,39.99
C000413,2020-09-25,19,Non-Binary,UK,Basic,9.99
C000414,2024-08-29,53,Non-Binary,Australia,Premium,39.99
C000415,2020-12-05,41,Non-Binary,UK,Standard,19.99
C000416,2023-10-17,29,Non-Binary,USA,Standard,19.99
C000417,2021-08-06,56,Non-Binary,Australia,Basic,9.99
C000418,2021-05-04,39,Female,Brazil,Premium,39.99
C000419,2024-09-06,52,Male,UK,Enterprise,99.99
C000420,2022-06-21,38,Female,Australia,Premium,39.99
C000421,2022-10-26,62,Non-Binary,UK,Basic,9.99
C000422,2021-02-12,59,Non-Binary,USA,Basic,9.99
C000423,2023-08-06,35,Female,India,Standard,19.99
C000424,2020-07-29,49,Non-Binary,India,Premium,39.99
C000425,2021-08-06,45,Male,Australia,Basic,9.99
C000426,2022-11-17,54,Male,India,Basic,9.99
C000427,2021-03-30,26,Female,India,Enterprise,99.99
C000428,2022-04-29,46,Male,UK,Basic,9.99
C000429,2022-03-01,50,Male,UK,Basic,9.99
C000430,2020-07-21,18,Non-Binary,Germany,Premium,39.99
C000431,2020-10-08,23,Male,USA,Premium,39.99
C000432,2023-11-26,18,Male,Australia,Standard,19.99
C000433,2023-06-14,34,Male,India,Basic,9.99
C000434,2021-03-17,46,Male,Canada,Premium,39.99
C000435,2022-12-16,56,Female,USA,Basic,9.99
C000436,2021-09-08,38,Male,USA,Standard,19.99
C000437,2024-06-13,57,Non-Binary,Canada,Basic,9.99
C000438,2022-10-20,21,Non-Binary,Canada,Standard,19.99
C000439,2023-03-23,18,Male,France,Basic,9.99
C000440,2020-01-04,37,Non-Binary,UK,Standard,19.99
C000441,2021-01-18,42,Non-Binary,France,Standard,19.99
C000442,2022-01-08,37,Male,Brazil,Standard,19.99
C000443,2024-05-29,18,Non-Binary,Germany,Basic,9.99
C000444,2022-08-20,36,Male,Germany,Enterprise,99.99
C000445,2021-06-03,22,Non-Binary,USA,Premium,39.99
C000446,2021-12-07,46,Male,Australia,Standard,19.99
C000447,2024-04-29,42,Non-Binary,Australia,Basic,9.99
C000448,2020-03-31,26,Female,Canada,Premium,39.99
C000449,2020-12-24,31,Non-Binary,Canada,Standard,19.99
C000450,2023-07-17,25,Male,India,Basic,9.99
C000451,2024-05-08,37,Female,USA,Basic,9.99
C000452,2024-06-08,49,Male,India,Basic,9.99
C000453,2021-09-27,26,Non-Binary,UK,Premium,39.99
C000454,2022-08-27,44,Female,USA,Standard,19.99
C000455,2021-08-08,31,Female,India,Basic,9.99
C000456,2023-09-04,28,Female,USA,Premium,39.99
C000457,2022-06-13,36,Female,Australia,Premium,39.99
C000458,2022-03-02,25,Female,Brazil,Standard,19.99
C000459,2022-10-15,31,Female,Brazil,Standard,19.99
C000460,2024-06-28,23,Male,France,Basic,9.99
C000461,2023-05-18,61,Male,Canada,Basic,9.99
C000462,2020-06-12,38,Female,France,Basic,9.99
C000463,2023-05-19,29,Non-Binary,UK,Standard,19.99
C000464,2021-12-20,40,Female,USA,Premium,39.99
C000465,2021-12-23,36,Non-Binary,Brazil,Basic,9.99
C000466,2024-06-08,35,Male,USA,Standard,19.99
C000467,2022-01-14,45,Non-Binary,India,Standard,19.99
C000468,2020-03-04,47,Male,India,Standard,19.99
C000469,2022-06-16,31,Male,USA,Basic,9.99
C000470,2023-08-14,31,Female,UK,Enterprise,99.99
C000471,2020-03-07,34,Non-Binary,USA,Standard,19.99
C000472,2022-01-29,18,Female,UK,Basic,9.99
C000473,2020-10-08,19,Non-Binary,UK,Basic,9.99
C000474,2021-07-24,54,Male,Brazil,Basic,9.99
C000475,2021-01-16,57,Female,Canada,Enterprise,99.99
C000476,2020-08-29,35,Female,Australia,Premium,39.99
C000477,2021-03-15,44,Non-Binary,USA,Enterprise,99.99
C000478,2022-10-02,41,Male,USA,Premium,39.99
C000479,2022-07-14,74,Male,India,Standard,19.99
C000480,2020-06-28,51,Non-Binary,Brazil,Enterprise,99.99
C000481,2023-09-29,36,Female,France,Standard,19.99
C000482,2021-08-17,26,Female,India,Premium,39.99
C000483,2023-12-05,18,Non-Binary,USA,Basic,9.99
C000484,2021-04-04,40,Male,Brazil,Premium,39.99
C000485,2021-04-29,28,Female,USA,Standard,19.99
