ticket_id,customer_id,ticket_date,ticket_category,resolution_time_hrs,satisfaction_score
T000040_02,C000040,2021-10-11,technical,3.8,3
T000040_03,C000040,2022-10-05,account,2.7,4
T000040_01,C000040,2023-06-03,technical,0.5,1
T000041_01,C000041,2022-10-14,technical,22.8,3
T000043_01,C000043,2022-12-22,billing,1.5,5
T000044_01,C000044,2024-06-16,billing,18.0,2
T000046_02,C000046,2023-03-29,billing,12.8,3
T000046_01,C000046,2023-06-23,technical,9.2,3
T000048_01,C000048,2023-11-19,billing,4.0,4
T000048_03,C000048,2023-11-25,billing,5.5,2
T000048_02,C000048,2023-12-20,billing,2.0,5
T000049_01,C000049,2022-12-27,cancellation,25.2,3
T000049_02,C000049,2024-04-29,account,2.5,5
T000049_03,C000049,2024-06-18,account,2.6,3
T000050_01,C000050,2021-08-25,cancellation,7.0,2
T000050_06,C000050,2021-11-18,feature_request,5.2,1
T000050_04,C000050,2022-05-26,account,0.5,1
T000050_03,C000050,2022-06-27,technical,1.7,3
T000050_05,C000050,2023-04-01,technical,1.6,1
T000050_02,C000050,2023-11-14,account,0.5,3
T000051_03,C000051,2021-09-20,billing,2.5,5
T000051_02,C000051,2021-09-26,billing,4.7,5
T000051_01,C000051,2024-05-14,account,22.0,2
T000053_01,C000053,2023-05-16,technical,16.9,2
T000053_02,C000053,2023-12-14,account,6.0,4
T000055_02,C000055,2024-03-23,feature_request,12.3,1
T000055_01,C000055,2024-11-06,technical,4.1,2
T000057_01,C000057,2022-09-13,cancellation,2.3,1
T000057_02,C000057,2024-07-11,technical,3.5,3
T000058_01,C000058,2024-11-04,account,59.9,1
T000059_01,C000059,2023-10-20,technical,12.4,3
T000060_01,C000060,2023-03-01,feature_request,9.9,2
T000060_02,C000060,2024-06-01,technical,2.2,4
T000063_01,C000063,2024-11-25,technical,15.0,3
T000064_02,C000064,2021-10-20,technical,6.6,3
T000064_03,C000064,2021-12-19,technical,3.6,2
T000064_04,C000064,2022-09-04,technical,0.8,3
T000064_05,C000064,2024-02-09,cancellation,2.9,4
T000064_01,C000064,2024-10-10,technical,0.6,2
T000065_01,C000065,2022-08-23,billing,6.2,5
T000065_02,C000065,2022-10-25,billing,2.8,5
T000066_02,C000066,2022-08-28,account,1.7,1
T000066_03,C000066,2023-07-10,billing,6.2,5
T000066_01,C000066,2024-08-31,billing,5.1,5
T000067_02,C000067,2024-11-06,cancellation,30.9,1
T000067_01,C000067,2024-11-17,billing,5.3,1
T000070_01,C000070,2021-04-21,billing,13.5,5
T000070_02,C000070,2024-08-09,account,4.2,4
T000071_01,C000071,2023-04-27,technical,5.7,5
T000072_01,C000072,2024-12-13,technical,8.9,3
T000073_01,C000073,2024-12-23,account,0.5,4
T000074_01,C000074,2024-09-08,billing,0.5,4
T000075_02,C000075,2022-04-13,cancellation,14.9,4
T000075_01,C000075,2023-07-04,technical,12.0,2
T000076_01,C000076,2022-10-21,billing,8.3,5
T000076_04,C000076,2023-05-23,technical,44.4,3
T000076_03,C000076,2023-10-02,billing,5.2,2
T000076_02,C000076,2024-02-26,account,6.3,4
T000077_01,C000077,2023-09-22,account,11.6,1
T000078_01,C000078,2024-12-22,billing,0.8,1
T000079_03,C000079,2021-07-28,billing,4.6,1
T000079_01,C000079,2022-10-18,billing,28.4,3
T000079_02,C000079,2023-06-16,account,2.9,4
T000080_01,C000080,2023-04-24,account,9.5,1
T000080_02,C000080,2023-09-17,account,3.6,1
T000082_02,C000082,2023-02-09,billing,14.1,1
T000082_03,C000082,2024-10-14,technical,4.5,5
T000082_01,C000082,2024-10-30,technical,11.5,3
T000084_01,C000084,2024-03-16,account,8.7,5
T000084_02,C000084,2024-03-28,billing,12.3,1
T000086_04,C000086,2022-12-20,technical,9.0,3
T000086_03,C000086,2023-01-15,account,2.0,1
T000086_02,C000086,2023-05-20,billing,7.5,5
T000086_01,C000086,2023-10-01,technical,41.0,2
T000087_01,C000087,2023-04-14,cancellation,19.9,3
T000088_01,C000088,2024-06-09,technical,18.4,1
T000089_01,C000089,2024-07-16,feature_request,2.8,5
T000090_02,C000090,2021-07-03,account,42.4,3
T000090_01,C000090,2022-10-11,billing,25.1,4
T000090_03,C000090,2022-11-09,technical,3.0,4
T000091_03,C000091,2022-05-25,technical,0.9,5
T000091_02,C000091,2023-12-25,account,0.5,5
T000091_01,C000091,2024-03-31,billing,1.5,4
T000092_02,C000092,2023-07-20,feature_request,0.6,5
T000092_01,C000092,2023-11-18,technical,7.8,2
T000094_01,C000094,2024-01-10,technical,0.5,5
T000095_01,C000095,2024-03-11,billing,6.3,3
T000096_02,C000096,2022-02-09,account,20.5,4
T000096_01,C000096,2024-08-17,billing,12.6,2
T000097_01,C000097,2024-11-18,technical,12.0,3
T000098_03,C000098,2023-07-19,feature_request,24.1,1
T000098_01,C000098,2023-11-02,technical,3.8,4
T000098_02,C000098,2024-09-27,cancellation,2.7,4
T000099_01,C000099,2023-03-13,account,18.4,5
T000104_02,C000104,2021-11-08,cancellation,4.2,2
T000104_01,C000104,2023-03-11,cancellation,6.8,4
T000105_03,C000105,2023-05-07,technical,12.5,2
T000105_02,C000105,2023-06-08,technical,1.4,1
T000105_01,C000105,2024-06-19,billing,1.1,4
T000106_01,C000106,2024-11-14,account,0.8,5
T000107_01,C000107,2022-06-23,billing,4.7,4
T000107_03,C000107,2023-06-13,cancellation,0.5,3
T000107_02,C000107,2024-04-11,account,18.0,3
T000108_01,C000108,2024-12-05,technical,4.0,3
T000110_01,C000110,2024-02-05,billing,6.6,1
T000111_01,C000111,2023-02-05,billing,5.6,4
T000112_01,C000112,2024-07-16,billing,12.4,2
T000113_01,C000113,2020-10-03,account,6.4,2
T000113_02,C000113,2022-05-17,billing,6.0,1
T000113_03,C000113,2023-05-18,billing,3.0,5
T000113_04,C000113,2024-01-04,billing,2.1,1
T000118_02,C000118,2023-09-18,technical,2.4,2
T000118_01,C000118,2024-03-04,technical,12.9,1
T000119_01,C000119,2024-02-02,technical,2.2,1
T000123_01,C000123,2021-10-13,feature_request,16.0,2
T000123_02,C000123,2022-11-16,billing,6.4,5
T000124_01,C000124,2024-08-13,feature_request,2.6,4
T000126_01,C000126,2024-10-27,account,1.0,1
T000127_01,C000127,2024-10-12,cancellation,10.9,1
T000129_01,C000129,2021-10-01,cancellation,49.9,3
T000130_01,C000130,2023-08-27,billing,4.5,3
T000132_01,C000132,2023-12-21,account,9.7,2
T000134_01,C000134,2020-10-30,technical,17.7,3
T000137_02,C000137,2024-04-21,cancellation,2.7,1
T000137_01,C000137,2024-11-06,cancellation,5.2,1
T000143_01,C000143,2022-09-30,billing,2.0,5
T000143_02,C000143,2023-05-25,billing,8.9,4
T000144_01,C000144,2023-01-21,feature_request,8.5,3
T000144_02,C000144,2024-03-15,technical,7.3,4
T000145_02,C000145,2024-02-25,feature_request,7.1,4
T000145_01,C000145,2024-05-09,feature_request,0.5,2
T000146_01,C000146,2022-02-11,billing,4.6,4
T000146_02,C000146,2023-02-22,billing,1.6,2
T000147_02,C000147,2022-09-02,cancellation,2.0,4
T000147_01,C000147,2023-06-11,billing,2.7,1
T000147_03,C000147,2023-06-23,billing,4.7,5
T000147_05,C000147,2023-09-04,technical,4.3,3
T000147_04,C000147,2024-05-10,technical,40.8,3
T000149_01,C000149,2024-11-27,technical,24.8,2
T000150_02,C000150,2022-02-13,technical,14.5,4
T000150_01,C000150,2022-12-22,cancellation,8.8,5
T000150_03,C000150,2023-03-11,account,3.5,1
T000150_04,C000150,2024-07-02,technical,2.8,4
T000152_01,C000152,2024-08-20,technical,2.4,1
T000158_05,C000158,2023-11-19,account,21.2,2
T000158_02,C000158,2024-01-14,billing,0.5,1
T000158_03,C000158,2024-02-03,account,0.5,2
T000158_01,C000158,2024-02-22,billing,24.5,2
T000158_04,C000158,2024-04-04,billing,1.5,2
T000159_02,C000159,2021-09-29,feature_request,21.2,4
T000159_01,C000159,2023-08-03,account,14.2,3
T000160_02,C000160,2022-02-19,billing,17.3,5
T000160_01,C000160,2022-09-10,technical,5.0,1
T000161_02,C000161,2021-12-22,technical,1.1,5
T000161_01,C000161,2024-02-15,billing,0.5,5
T000162_02,C000162,2020-08-06,account,15.2,4
T000162_03,C000162,2020-09-25,technical,4.9,4
T000162_01,C000162,2024-07-30,account,1.4,5
T000162_04,C000162,2024-11-03,technical,8.5,2
T000163_01,C000163,2023-09-13,account,0.5,5
T000164_01,C000164,2023-10-21,billing,9.0,1
T000165_03,C000165,2023-05-09,account,1.0,5
T000165_02,C000165,2023-10-10,billing,9.0,1
T000165_01,C000165,2024-01-14,account,5.5,2
T000166_04,C000166,2023-02-07,billing,12.5,5
T000166_01,C000166,2023-07-30,feature_request,0.9,2
T000166_03,C000166,2024-07-17,cancellation,7.3,1
T000166_02,C000166,2024-11-24,technical,6.8,4
T000168_01,C000168,2024-10-29,billing,3.4,3
T000169_03,C000169,2020-04-01,technical,4.1,3
T000169_02,C000169,2020-05-12,feature_request,9.5,5
T000169_01,C000169,2024-06-22,feature_request,25.7,1
T000170_01,C000170,2022-11-08,billing,9.1,5
T000171_04,C000171,2023-05-27,account,1.9,2
T000171_01,C000171,2023-05-30,account,6.2,2
T000171_02,C000171,2023-06-18,feature_request,7.6,3
T000171_03,C000171,2023-07-19,account,4.4,2
T000171_05,C000171,2024-02-24,feature_request,5.6,2
T000171_06,C000171,2024-11-13,account,1.0,1
T000173_01,C000173,2023-03-04,account,0.5,5
T000173_02,C000173,2024-10-14,feature_request,2.9,1
T000174_02,C000174,2024-01-27,billing,6.5,2
T000174_01,C000174,2024-09-16,billing,2.9,4
T000175_01,C000175,2022-04-02,technical,36.4,1
T000181_01,C000181,2021-09-03,feature_request,3.6,2
T000181_02,C000181,2022-04-18,technical,11.4,5
T000184_01,C000184,2024-06-18,billing,12.9,5
T000186_03,C000186,2023-06-24,feature_request,9.8,3
T000186_02,C000186,2023-12-28,account,15.4,4
T000186_01,C000186,2024-08-08,technical,1.5,4
T000188_01,C000188,2024-06-27,account,48.7,4
T000190_01,C000190,2024-05-13,technical,18.2,3
T000193_01,C000193,2021-11-05,technical,3.9,5
T000193_02,C000193,2022-05-30,feature_request,0.5,1
T000193_03,C000193,2023-09-08,billing,0.5,4
T000198_01,C000198,2024-04-19,cancellation,9.0,4
T000199_01,C000199,2023-07-22,account,6.8,1
T000199_02,C000199,2024-01-02,billing,5.7,5
T000200_01,C000200,2020-05-06,cancellation,11.4,3
T000200_03,C000200,2021-09-29,billing,3.7,5
T000200_02,C000200,2022-11-11,technical,2.1,3
T000202_02,C000202,2023-07-09,technical,3.7,4
T000202_01,C000202,2024-09-30,technical,2.6,3
T000203_01,C000203,2022-10-14,account,12.4,5
T000204_01,C000204,2024-09-03,account,4.9,2
T000205_01,C000205,2024-09-13,cancellation,28.3,4
T000206_01,C000206,2023-07-10,billing,3.7,5
T000206_02,C000206,2024-08-07,technical,15.3,5
T000207_02,C000207,2023-06-04,technical,6.9,1
T000207_01,C000207,2024-01-05,billing,14.3,4
T000208_01,C000208,2021-06-10,technical,8.5,5
T000208_02,C000208,2022-03-14,cancellation,5.0,5
T000209_01,C000209,2024-02-22,billing,4.9,5
T000210_01,C000210,2024-04-20,technical,15.0,5
T000212_02,C000212,2021-01-30,account,11.5,2
T000212_03,C000212,2022-10-11,technical,0.5,4
T000212_01,C000212,2023-11-26,technical,1.8,2
T000213_03,C000213,2023-08-12,billing,3.6,1
T000213_02,C000213,2024-03-01,technical,0.7,1
T000213_01,C000213,2024-10-18,technical,6.7,5
T000215_03,C000215,2022-07-19,technical,3.2,5
T000215_02,C000215,2023-10-01,technical,2.1,4
T000215_01,C000215,2023-12-23,technical,5.1,2
T000216_01,C000216,2023-04-22,billing,7.9,3
T000219_01,C000219,2020-09-21,billing,2.1,5
T000219_03,C000219,2023-01-19,account,9.2,5
T000219_02,C000219,2023-06-07,feature_request,2.6,2
T000220_01,C000220,2024-07-06,account,15.5,1
T000222_02,C000222,2021-11-10,account,7.2,1
T000222_01,C000222,2024-10-09,account,6.6,4
T000223_01,C000223,2023-12-28,billing,1.0,3
T000223_02,C000223,2024-08-16,technical,15.3,5
T000224_01,C000224,2024-09-20,account,0.5,3
T000225_01,C000225,2024-01-03,feature_request,1.6,1
T000226_01,C000226,2024-05-13,feature_request,6.3,2
T000227_02,C000227,2024-07-16,billing,25.5,1
T000227_01,C000227,2024-11-11,account,34.5,2
T000228_02,C000228,2021-10-26,billing,6.5,5
T000228_01,C000228,2022-06-14,billing,16.6,5
T000230_02,C000230,2024-03-09,account,8.7,3
T000230_01,C000230,2024-07-29,technical,8.2,2
T000231_01,C000231,2024-06-07,technical,6.4,2
T000232_02,C000232,2024-04-30,cancellation,16.0,1
T000232_03,C000232,2024-06-01,cancellation,26.6,3
T000232_01,C000232,2024-10-22,technical,36.0,1
T000233_01,C000233,2022-11-16,technical,8.6,2
T000233_03,C000233,2023-02-10,feature_request,5.1,2
T000233_04,C000233,2023-03-11,feature_request,2.9,1
T000233_02,C000233,2024-10-23,technical,1.3,1
T000235_02,C000235,2021-06-06,technical,3.1,4
T000235_01,C000235,2022-06-12,account,4.0,2
T000236_03,C000236,2021-08-19,billing,8.6,2
T000236_01,C000236,2022-06-26,technical,1.6,5
T000236_02,C000236,2022-10-02,account,7.7,2
T000237_01,C000237,2023-08-30,account,0.5,2
T000238_01,C000238,2024-10-11,feature_request,12.4,3
T000239_01,C000239,2024-01-06,technical,12.7,1
T000240_02,C000240,2023-10-07,technical,34.7,4
T000240_04,C000240,2024-09-04,account,12.3,5
T000240_03,C000240,2024-11-06,cancellation,5.4,4
T000240_01,C000240,2024-12-28,technical,0.5,5
T000241_02,C000241,2020-06-05,cancellation,6.3,2
T000241_03,C000241,2020-07-11,account,1.0,4
T000241_01,C000241,2023-04-18,technical,1.0,5
T000241_04,C000241,2024-10-02,billing,3.4,4
T000244_01,C000244,2022-12-02,technical,45.6,2
T000244_02,C000244,2023-02-15,billing,0.5,2
T000246_01,C000246,2023-04-06,technical,2.1,1
T000247_01,C000247,2020-11-22,billing,5.6,5
T000248_02,C000248,2022-05-15,feature_request,13.3,1
T000248_01,C000248,2023-03-07,billing,1.6,5
T000249_01,C000249,2024-04-10,technical,25.5,2
T000250_01,C000250,2024-06-03,cancellation,2.9,4
T000251_01,C000251,2023-08-30,feature_request,16.9,5
T000252_01,C000252,2024-10-19,feature_request,0.5,1
T000257_01,C000257,2022-11-15,technical,4.6,1
T000257_03,C000257,2023-01-23,technical,9.4,3
T000257_02,C000257,2024-06-10,cancellation,18.2,4
T000258_04,C000258,2021-06-30,billing,13.7,5
T000258_05,C000258,2022-05-27,cancellation,3.7,2
T000258_03,C000258,2023-01-30,billing,1.1,5
T000258_01,C000258,2023-11-28,billing,3.4,3
T000258_02,C000258,2024-03-26,billing,8.5,3
T000259_01,C000259,2020-10-10,technical,2.3,3
T000259_03,C000259,2023-03-22,account,14.7,3
T000259_02,C000259,2023-04-26,feature_request,0.6,4
T000259_04,C000259,2023-12-01,account,17.3,1
T000260_01,C000260,2021-11-18,technical,2.7,4
T000261_01,C000261,2024-07-27,billing,1.5,3
T000263_03,C000263,2022-12-11,account,0.5,5
T000263_01,C000263,2023-07-18,account,7.0,1
T000263_02,C000263,2024-05-12,account,1.9,2
T000264_03,C000264,2022-10-05,technical,2.2,3
T000264_04,C000264,2022-12-15,feature_request,2.4,3
T000264_01,C000264,2023-09-05,feature_request,11.7,3
T000264_02,C000264,2024-03-04,billing,1.6,3
T000265_01,C000265,2024-05-04,technical,0.8,3
T000265_02,C000265,2024-10-26,billing,14.8,5
T000266_01,C000266,2024-04-23,billing,1.7,1
T000268_01,C000268,2024-04-12,account,2.7,1
T000268_02,C000268,2024-04-20,technical,3.6,2
T000269_01,C000269,2024-08-11,feature_request,8.4,3
T000270_01,C000270,2021-02-09,technical,0.6,4
T000270_02,C000270,2024-09-27,feature_request,6.4,5
T000272_01,C000272,2022-12-15,cancellation,1.1,1
T000273_01,C000273,2024-12-07,technical,1.0,5
T000274_01,C000274,2024-02-20,feature_request,1.9,4
T000275_01,C000275,2023-08-16,feature_request,0.5,5
T000276_02,C000276,2022-06-25,account,3.1,5
T000276_01,C000276,2022-12-08,account,2.5,5
T000276_04,C000276,2023-05-26,feature_request,5.7,1
T000276_03,C000276,2023-06-19,feature_request,25.9,3
T000278_01,C000278,2023-09-17,technical,2.2,4
T000279_01,C000279,2022-11-17,account,0.5,3
T000281_01,C000281,2022-03-21,account,10.5,3
T000281_02,C000281,2023-03-30,billing,1.4,5
T000283_01,C000283,2024-03-16,technical,4.5,2
T000284_01,C000284,2024-10-28,cancellation,0.5,4
T000285_01,C000285,2023-12-14,feature_request,8.7,3
T000286_01,C000286,2024-04-04,technical,8.4,3
T000287_01,C000287,2020-07-22,account,12.9,2
T000287_02,C000287,2022-01-25,technical,1.1,4
T000289_02,C000289,2021-04-04,technical,2.4,4
T000289_01,C000289,2023-11-25,account,6.8,1
T000290_02,C000290,2021-07-30,technical,0.8,4
T000290_01,C000290,2022-06-07,technical,1.9,4
T000290_03,C000290,2024-08-25,technical,0.8,4
T000291_02,C000291,2022-05-22,account,3.1,3
T000291_01,C000291,2022-09-24,technical,1.0,1
T000291_03,C000291,2023-01-01,technical,14.3,1
T000291_04,C000291,2023-06-29,technical,5.1,1
T000291_05,C000291,2024-10-13,billing,5.6,3
T000292_03,C000292,2020-12-30,technical,12.6,4
T000292_02,C000292,2021-01-14,account,3.2,3
T000292_01,C000292,2022-03-31,feature_request,7.7,2
T000294_02,C000294,2024-01-28,account,25.4,5
T000294_01,C000294,2024-11-29,technical,16.1,1
T000295_01,C000295,2022-03-10,account,8.7,5
T000297_01,C000297,2020-05-05,technical,17.6,2
T000298_02,C000298,2024-02-17,cancellation,7.0,2
T000298_01,C000298,2024-02-25,billing,11.2,2
T000300_07,C000300,2021-09-25,billing,22.9,2
T000300_01,C000300,2022-02-16,billing,1.6,5
T000300_06,C000300,2022-09-03,technical,2.6,5
T000300_02,C000300,2022-10-21,billing,11.7,3
T000300_05,C000300,2022-12-15,cancellation,12.2,5
T000300_04,C000300,2023-02-18,billing,3.3,1
T000300_03,C000300,2024-05-28,billing,20.2,2
T000301_01,C000301,2024-02-20,billing,12.1,1
T000302_01,C000302,2021-02-11,technical,1.0,1
T000302_02,C000302,2022-04-22,feature_request,14.0,3
T000302_03,C000302,2022-10-08,billing,23.4,1
T000303_01,C000303,2022-10-22,technical,3.1,5
T000304_02,C000304,2022-03-27,account,18.0,2
T000304_01,C000304,2024-07-09,technical,1.9,5
T000306_01,C000306,2024-06-10,billing,8.7,2
T000308_01,C000308,2024-06-14,cancellation,13.3,1
T000310_01,C000310,2024-10-15,technical,21.8,3
T000312_01,C000312,2023-08-13,account,6.6,5
T000313_01,C000313,2021-10-31,technical,16.9,2
T000313_02,C000313,2022-10-15,billing,13.0,1
T000314_01,C000314,2023-09-15,technical,9.5,2
T000316_03,C000316,2022-09-19,billing,2.8,2
T000316_01,C000316,2023-07-06,billing,8.1,4
T000316_02,C000316,2024-10-06,billing,16.9,1
T000317_01,C000317,2023-11-22,technical,4.3,1
T000317_02,C000317,2024-03-17,account,14.6,3
T000319_02,C000319,2022-09-06,billing,1.5,5
T000319_01,C000319,2023-08-27,feature_request,17.2,3
T000321_01,C000321,2021-05-02,account,0.5,1
T000321_02,C000321,2022-02-07,feature_request,1.0,4
T000322_01,C000322,2024-05-12,account,10.3,1
T000323_02,C000323,2021-02-05,account,1.8,4
T000323_01,C000323,2023-03-22,feature_request,1.3,3
T000324_03,C000324,2020-05-20,account,8.5,5
T000324_01,C000324,2022-06-03,billing,16.6,2
T000324_02,C000324,2022-10-23,technical,0.7,2
T000327_01,C000327,2024-03-20,technical,7.3,1
T000328_01,C000328,2023-07-25,account,10.8,2
T000329_01,C000329,2024-09-20,technical,3.8,4
T000330_01,C000330,2023-08-28,billing,9.4,1
T000330_02,C000330,2023-10-17,account,27.2,4
T000331_03,C000331,2021-04-15,cancellation,8.4,2
T000331_01,C000331,2022-12-25,technical,3.9,1
T000331_02,C000331,2023-06-25,billing,7.8,4
T000332_01,C000332,2024-02-06,account,5.6,5
T000333_03,C000333,2023-05-08,technical,0.9,2
T000333_02,C000333,2024-03-02,billing,4.9,4
T000333_01,C000333,2024-12-10,account,1.3,1
T000334_01,C000334,2022-09-22,account,11.6,1
T000335_04,C000335,2023-10-15,technical,3.3,1
T000335_01,C000335,2024-03-23,billing,3.1,2
T000335_02,C000335,2024-04-03,technical,3.2,1
T000335_03,C000335,2024-06-14,technical,2.9,2
T000336_01,C000336,2023-05-15,cancellation,4.1,2
T000336_02,C000336,2023-12-14,account,13.6,2
T000337_01,C000337,2023-12-27,technical,8.6,4
T000338_01,C000338,2024-09-20,account,11.9,4
T000339_01,C000339,2021-01-30,billing,7.7,2
T000339_02,C000339,2023-05-06,billing,9.4,1
T000340_01,C000340,2024-10-29,account,23.5,1
T000342_01,C000342,2024-05-12,cancellation,23.5,5
T000343_01,C000343,2024-11-02,billing,2.4,4
T000344_01,C000344,2024-09-26,technical,24.5,3
T000345_01,C000345,2022-06-11,billing,3.3,2
T000346_03,C000346,2022-04-07,billing,6.4,4
T000346_01,C000346,2024-09-16,account,20.2,4
T000346_02,C000346,2024-10-13,account,0.7,2
T000347_01,C000347,2023-12-27,technical,0.7,3
T000350_03,C000350,2021-03-25,feature_request,4.3,5
T000350_02,C000350,2021-04-07,feature_request,2.3,3
T000350_04,C000350,2022-07-09,feature_request,20.6,3
T000350_01,C000350,2022-09-01,technical,1.1,1
T000351_01,C000351,2023-09-24,feature_request,10.5,3
T000352_02,C000352,2022-06-14,billing,3.1,2
T000352_01,C000352,2023-07-26,feature_request,0.5,4
T000353_01,C000353,2022-12-31,cancellation,18.3,4
T000354_01,C000354,2024-12-20,feature_request,38.8,1
T000355_01,C000355,2023-04-09,technical,40.1,2
T000355_02,C000355,2023-11-11,account,16.4,5
T000356_02,C000356,2023-07-11,account,4.1,1
T000356_03,C000356,2024-05-03,billing,0.9,5
T000356_01,C000356,2024-11-27,billing,2.2,2
T000358_01,C000358,2022-04-20,billing,2.2,3
T000358_03,C000358,2022-12-30,technical,8.6,3
T000358_02,C000358,2024-01-20,billing,1.7,2
T000359_01,C000359,2022-09-20,technical,9.8,5
T000359_02,C000359,2024-10-06,feature_request,0.5,2
T000360_01,C000360,2024-01-26,technical,9.2,1
T000363_01,C000363,2023-07-10,technical,0.5,3
T000363_02,C000363,2024-04-19,cancellation,1.7,4
T000364_04,C000364,2021-04-20,billing,41.6,1
T000364_02,C000364,2022-07-17,billing,15.4,3
T000364_01,C000364,2024-02-08,billing,13.8,4
T000364_03,C000364,2024-08-01,account,4.1,3
T000365_01,C000365,2024-04-23,account,23.0,4
T000365_02,C000365,2024-08-28,account,4.4,3
T000365_03,C000365,2024-10-04,feature_request,12.2,1
T000367_03,C000367,2023-07-04,technical,0.5,3
T000367_01,C000367,2024-05-16,technical,4.3,5
T000367_02,C000367,2024-12-19,cancellation,6.3,2
T000369_01,C000369,2022-09-08,technical,2.2,5
T000369_02,C000369,2022-09-15,account,3.4,3
T000371_01,C000371,2024-03-06,account,11.4,3
T000372_02,C000372,2024-03-10,technical,0.7,5
T000372_01,C000372,2024-06-16,cancellation,49.4,3
T000373_02,C000373,2023-10-07,cancellation,3.6,3
T000373_01,C000373,2024-12-03,billing,0.5,4
T000374_01,C000374,2024-12-26,billing,17.0,1
T000377_01,C000377,2023-08-17,feature_request,0.9,5
T000380_01,C000380,2022-06-25,account,39.7,3
T000382_01,C000382,2023-12-16,account,19.7,3
T000382_02,C000382,2024-07-24,billing,3.2,3
T000383_01,C000383,2022-09-06,technical,24.9,5
T000385_01,C000385,2023-02-08,technical,0.5,3
T000385_02,C000385,2024-09-08,cancellation,21.9,5
T000386_01,C000386,2024-04-27,technical,2.2,1
T000386_02,C000386,2024-10-16,account,9.1,1
T000387_02,C000387,2023-10-29,account,0.6,4
T000387_01,C000387,2024-06-10,account,34.7,3
T000389_02,C000389,2023-08-16,account,4.8,2
T000389_01,C000389,2024-03-05,account,11.5,3
T000391_01,C000391,2020-10-12,account,2.0,3
T000391_02,C000391,2021-04-24,technical,5.2,5
T000393_04,C000393,2022-05-09,technical,15.7,4
T000393_03,C000393,2023-10-22,account,0.9,4
T000393_02,C000393,2024-01-16,technical,1.8,1
T000393_01,C000393,2024-07-18,technical,7.6,3
T000394_01,C000394,2024-05-17,technical,8.2,2
T000395_01,C000395,2020-03-22,cancellation,14.4,2
T000395_03,C000395,2021-03-23,account,12.4,1
T000395_02,C000395,2024-01-01,billing,5.1,4
T000396_01,C000396,2023-11-22,feature_request,23.8,2
T000397_03,C000397,2022-05-06,cancellation,2.0,4
T000397_01,C000397,2022-12-29,account,1.6,5
T000397_02,C000397,2023-07-15,technical,1.3,2
T000397_04,C000397,2024-06-30,billing,6.4,5
T000398_01,C000398,2023-08-05,technical,6.4,3
T000399_04,C000399,2021-03-21,account,24.1,1
T000399_01,C000399,2021-10-13,technical,5.2,1
T000399_03,C000399,2023-06-04,account,6.3,5
T000399_02,C000399,2024-04-21,billing,11.8,1
T000402_02,C000402,2022-04-21,billing,2.7,4
T000402_01,C000402,2024-01-21,technical,1.2,2
T000404_01,C000404,2021-06-17,billing,5.5,4
T000404_02,C000404,2023-02-16,cancellation,3.0,3
T000405_02,C000405,2021-11-09,technical,1.8,5
T000405_01,C000405,2024-08-03,technical,19.7,4
T000406_02,C000406,2024-02-22,billing,3.8,1
T000406_01,C000406,2024-04-12,billing,27.6,1
T000408_01,C000408,2021-10-13,billing,10.0,1
